Product_ID,Product_Name,Category,Cost_Price,Selling_Price,Demand,Revenue,Date,Inventory,Competitor_Price,Season
PRD-0001,Vitamin C Serum,Beauty,2647,3565,230,819950,2023-04-15,218,3179,Spring
PRD-0002,Organic Rice 5kg,Grocery,222,297,98,29106,2024-07-28,169,306,Summer
PRD-0003,Sneakers Pro,Fashion,8594,10346,183,1893318,2024-12-15,213,11295,Winter
PRD-0004,Resistance Bands,Sports,921,1159,90,104310,2024-09-10,142,1280,Autumn
PRD-0005,Bluetooth Speaker,Electronics,9019,12409,260,3226340,2024-01-06,228,12888,Winter
PRD-0006,Sneakers Pro,Fashion,10352,17735,147,2607045,2024-01-25,209,19685,Winter
PRD-0007,Basmati Rice 5kg,Grocery,971,1574,199,313226,2023-03-15,406,1661,Spring
PRD-0008,Bluetooth Speaker,Electronics,18767,32940,296,9750240,2023-08-13,627,34799,Summer
PRD-0009,Designer Jacket,Fashion,8550,12318,262,3227316,2024-08-03,502,10715,Summer
PRD-0010,Coconut Milk,Grocery,286,367,124,45508,2024-07-05,288,394,Summer
PRD-0011,Basmati Rice 5kg,Grocery,1397,1792,304,544768,2023-02-18,326,1789,Winter
PRD-0012,Moisturizer SPF50,Beauty,1470,2290,320,732800,2023-09-15,262,2268,Autumn
PRD-0013,Fitness Tracker,Sports,5450,7652,188,1438576,2023-06-11,430,7178,Summer
PRD-0014,Summer Dress,Fashion,5577,7048,153,1078344,2024-10-16,220,7313,Autumn
PRD-0015,Smartphone X12,Electronics,35546,53076,336,17833536,2024-01-07,444,46896,Winter
PRD-0016,Laptop Pro,Electronics,9368,13973,218,3046114,2024-06-29,351,12167,Summer
PRD-0017,Stand Mixer,Home Appliances,19413,30361,334,10140574,2024-07-06,672,34591,Summer
PRD-0018,Protein Granola,Grocery,670,1012,35,35420,2023-08-19,61,897,Summer
PRD-0019,Air Purifier,Home Appliances,4343,6856,271,1857976,2023-02-02,326,6298,Winter
PRD-0020,Perfume Luxe,Beauty,1979,3234,221,714714,2024-08-13,480,3605,Summer
PRD-0021,Laptop Pro,Electronics,38608,54537,302,16470174,2023-02-25,292,53083,Winter
PRD-0022,Protein Granola,Grocery,1141,1444,155,223820,2024-07-03,197,1310,Summer
PRD-0023,Denim Jeans,Fashion,4931,8466,271,2294286,2023-02-21,224,8594,Winter
PRD-0024,Smart Watch,Electronics,13482,20107,291,5851137,2024-02-15,234,18380,Winter
PRD-0025,Coconut Milk,Grocery,471,762,262,199644,2024-07-23,294,815,Summer
PRD-0026,Designer Jacket,Fashion,6292,9597,47,451059,2023-02-28,111,10311,Winter
PRD-0027,Air Purifier,Home Appliances,33706,42067,39,1640613,2024-09-01,58,38102,Autumn
PRD-0028,Travel Pillow,Accessories,3326,4071,162,659502,2024-11-04,387,3560,Autumn
PRD-0029,Leather Bag,Fashion,2887,4150,176,730400,2023-11-04,421,4364,Autumn
PRD-0030,Laptop Pro,Electronics,8736,11600,359,4164400,2023-12-24,513,10783,Winter
PRD-0031,Tablet Z,Electronics,36196,64876,286,18554536,2023-01-09,682,67873,Winter
PRD-0032,Wireless Earbuds,Electronics,18488,32055,128,4103040,2023-06-09,259,34386,Summer
PRD-0033,Sneakers Pro,Fashion,5554,7502,65,487630,2023-02-22,83,8421,Winter
